StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,QTMC_First Click,QTMC_Last Click,QTMC_Page Submit,QTMC_Click Count,QTME_First Click,QTME_Last Click,QTME_Page Submit,QTME_Click Count,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_11,Q32_12,Q32_13,Q32_14,Q32_15,Q32_16,Q33,Q34,Q35,Q36,Q37,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,KeyResponses,PlayerScore
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,When did you last eat?,Approximately how many hours of sleep did you get?,How comfortable do you feel right now?,How many days a week do you engage in physical activity?,How often have you been upset because of something that happened unexpectedly?,How often have you felt that you were unable to control the important things in your life?,How often have you felt nervous and stressed?,How often have you felt confident about your ability to handle your personal problems?,How often have you felt that things were going your way?,How often have you found that you could not cope with all the things that you had to do?,How often have you been able to control irritations in your life?,How often have you felt that you were on top of things?,How often have you been angered because of things that happened that were outside of your control?,How often have you felt difficulties were piling up so high that you could not overcome them?,"If I don’t have enough time to do everything, I don’t worry about it.",My worries overwhelm me.,I do not tend to worry about things.,Many situations make me worry.,"I know I shouldn’t worry about things, but I just cannot help it.",When I am under pressure I worry a lot.,I’ve been a worrier all my life.,"Once I start worrying, I can’t stop.",I worry about projects until they are done.,"As soon as I finish one task, I start to worry about everything else I have to do.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Why did you engage in this activity? - Because I think that this activity is interesting.,Why did you engage in this activity? - Because I am doing it for my own good.,Why did you engage in this activity? - Because I am supposed to do it.,"Why did you engage in this activity? - There may be good reasons to do this activity, but personally I don’t see any.",Why did you engage in this activity? - Because I think that this activity is pleasant.,Why did you engage in this activity? - Because I think that this activity is good for me.,Why did you engage in this activity? - Because it is something that I have to do.,Why did you engage in this activity? - I do this activity but I am not sure if it is worth it.,Why did you engage in this activity? - Because this activity is fun.,Why did you engage in this activity? - By personal decision.,Why did you engage in this activity? - Because I don’t have any choice.,Why did you engage in this activity? - I don’t know; I don’t see what this activity brings me.,Why did you engage in this activity? - Because I feel good when doing this activity.,Why did you engage in this activity? - Because I believe that this activity is important for me.,Why did you engage in this activity? - Because I feel that I have to do it.,"Why did you engage in this activity? - I do this activity, but I am not sure it is a good thing to pursue it.",What is your age?,What is your gender identity?,What Ethnicity do you identify with? (select all that apply),"Growing up, what was your family's level of income?","Growing up, how financially secure did you feel?",Score,PSS,Worry,SIMS,IM,IR,ER,AM,KeyResponses,PlayerScore
3/7/25 15:06,3/7/25 15:22,IP Address,104.28.123.69,100,958,True,3/7/25 15:22,R_5mfKUow7U5keLqB,,,,,37.8043,-122.2156,anonymous,EN,≤ 2 hours ago,5-7 hours,Somewhat comfortable,1-2 days a week,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Never,Fairly Often,Sometimes,Never,Never,Not at all typical,Not at all typical,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Often typical of me,Often typical of me,Not at all typical,Somewhat typical of me,Somewhat typical of me,,,,,0,0,651.983,0,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds not at all,Somewhat corresponds,18-21 years old,Man,Hispanic/Latino,Low income/Lower class,Somewhat Secure,87,13,31,43,13,10,4,16,,750
3/7/25 15:52,3/7/25 15:56,IP Address,128.54.150.42,100,236,True,3/7/25 15:56,R_7aC5E4t2ycalPnX,,,,,32.8509,-117.2722,anonymous,EN,≤ 2 hours ago,5-7 hours,Somewhat uncomfortable,1-2 days a week,Fairly Often,Very Often,Fairly Often,Sometimes,Almost Never,Sometimes,Almost Never,Sometimes,Fairly Often,Fairly Often,Rarely typical of me,Often typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,Often typical of me,Not at all typical,Rarely typical of me,Often typical of me,Very typical of me,1.525,1.525,46.312,1,,,,,Corresponds completely,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,18-21 years old,Non-binary,"White or European American,Hispanic/Latino",Low income/Lower class,Not very secure,116,28,33,55,19,10,16,10,,0
3/7/25 17:40,3/7/25 17:48,IP Address,128.54.149.140,100,513,True,3/7/25 17:48,R_5iuDcNhOfrT5RkZ,,,,,32.8509,-117.2722,anonymous,EN,3-5 hours ago,5-7 hours,Somewhat comfortable,3-5 days a week,Almost Never,Almost Never,Sometimes,Very Often,Fairly Often,Almost Never,Fairly Often,Very Often,Sometimes,Almost Never,Often typical of me,Rarely typical of me,Very typical of me,Not at all typical,Not at all typical,Rarely typical of me,Not at all typical,Not at all typical,Rarely typical of me,Not at all typical,0,0,312.924,0,,,,,Corresponds completely,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds completely,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Corresponds not at all,18-21 years old,Woman,East Asian,Comfortable income/Middle class,Secure,88,10,14,64,28,10,16,10,i,600
3/8/25 00:01,3/8/25 00:15,IP Address,128.54.167.194,100,840,True,3/8/25 00:15,R_6ABoXkf9sOwPCGB,,,,,32.8509,-117.2722,anonymous,EN,≤ 2 hours ago,5-7 hours,Somewhat uncomfortable,6-7 days a week,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Almost Never,Fairly Often,Sometimes,Almost Never,Sometimes,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Often typical of me,Often typical of me,Often typical of me,Somewhat typical of me,Rarely typical of me,Very typical of me,Very typical of me,,,,,0,0,610.575,0,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,18-21 years old,Man,"White or European American,East Asian",Comfortable income/Middle class,Secure,122,18,37,67,19,16,13,19,,1050
3/8/25 17:51,3/8/25 18:04,IP Address,76.175.194.172,100,781,True,3/8/25 18:04,R_36beRyrDERSxicF,,,,,33.1062,-117.2947,anonymous,EN,≤ 2 hours ago,2-4 hours,Very uncomfortable,3-5 days a week,Very Often,Very Often,Very Often,Almost Never,Almost Never,Fairly Often,Sometimes,Sometimes,Fairly Often,Very Often,Not at all typical,Very typical of me,Not at all typical,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,,,,,611.382,611.382,612.827,1,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,22-25 years old,Man,White or European American,Comfortable income/Middle class,Secure,125,32,50,43,13,7,13,10,,650
3/10/25 14:10,3/10/25 14:26,IP Address,70.95.130.113,100,953,True,3/10/25 14:26,R_7Qhqug9X6M0zUnT,,,,,32.9164,-117.1393,anonymous,EN,≤ 2 hours ago,8+ hours,Somewhat comfortable,3-5 days a week,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Not at all typical,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Very typical of me,Often typical of me,0,0,614.065,0,,,,,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds not at all,22-25 years old,Woman,White or European American,Comfortable income/Middle class,Secure,81,17,33,31,4,7,7,13,,400
3/10/25 15:24,3/10/25 15:34,IP Address,128.54.224.89,100,571,True,3/10/25 15:34,R_6OiTR1xNtBhA2Z7,,,,,34.1576,-118.2675,anonymous,EN,3-5 hours ago,5-7 hours,Neither comfortable nor uncomfortable,3-5 days a week,Fairly Often,Fairly Often,Very Often,Almost Never,Sometimes,Sometimes,Never,Sometimes,Very Often,Sometimes,Not at all typical,Very typical of me,Not at all typical,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Often typical of me,Very typical of me,331.502,331.502,334.379,1,,,,,Corresponds not at all,Corresponds not at all,Corresponds completely,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds completely,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds not at all,18-21 years old,Woman,East Asian,Comfortable income/Middle class,Somewhat Secure,124,29,49,46,7,7,13,19,,50
3/10/25 15:32,3/10/25 15:39,IP Address,128.54.194.87,100,410,True,3/10/25 15:39,R_3CyITBJYKapqUQq,,,,,32.8509,-117.2722,anonymous,EN,≤ 2 hours ago,5-7 hours,Somewhat comfortable,3-5 days a week,Almost Never,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Almost Never,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,0,0,234.111,0,,,,,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,18-21 years old,Man,South Asian,Comfortable income/Middle class,Secure,94,16,26,52,13,7,19,13,u,0
3/10/25 15:31,3/10/25 15:44,IP Address,128.54.32.165,100,771,True,3/10/25 15:44,R_3UDwlLxexo2wVCp,,,,,32.8595,-117.2124,anonymous,EN,≤ 2 hours ago,5-7 hours,Neither comfortable nor uncomfortable,6-7 days a week,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Rarely typical of me,Often typical of me,Not at all typical,Often typical of me,Often typical of me,Very typical of me,Very typical of me,Very typical of me,Often typical of me,Very typical of me,,,,,0,0,527.981,0,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Corresponds not at all,Corresponds completely,Corresponds not at all,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,18-21 years old,Woman,White or European American,Comfortable income/Middle class,Secure,114,20,45,49,10,10,16,13,i,200
